===========================================================================
接口列表
 11...........................Wintun Userspace Tunnel
 39...........................XyNetTunnel Tunnel
  7...04 d9 f5 1f 99 4a ......Realtek PCIe GbE Family Controller
 16...00 1a 7d da 71 11 ......Bluetooth Device (Personal Area Network)
  1...........................Software Loopback Interface 1
===========================================================================

IPv4 路由表
===========================================================================
活动路由:
网络目标        网络掩码          网关       接口   跃点数
      111.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       112.68.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       112.72.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       112.76.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      112.104.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      112.108.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      112.109.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      112.110.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      112.118.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      112.120.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      112.133.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      112.134.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      112.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      112.144.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      112.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      112.196.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      112.200.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      112.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       113.10.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       113.19.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       113.20.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       113.28.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       113.30.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       113.32.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       113.40.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       113.52.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     113.59.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       113.60.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     113.96.132.2  255.255.255.255         10.4.4.1         10.4.4.2     10
   113.96.132.223  255.255.255.255         10.4.4.1         10.4.4.2     10
   113.96.132.226  255.255.255.255         10.4.4.1         10.4.4.2     10
    113.106.96.56  255.255.255.255         10.4.4.1         10.4.4.2     10
   113.108.83.140  255.255.255.255         10.4.4.1         10.4.4.2     10
   113.108.83.189  255.255.255.255         10.4.4.1         10.4.4.2     10
   113.108.85.189  255.255.255.255         10.4.4.1         10.4.4.2     10
    113.108.86.61  255.255.255.255         10.4.4.1         10.4.4.2     10
      113.130.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      113.144.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      113.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      113.192.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      113.196.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      113.203.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      113.208.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      113.210.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      113.212.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    113.213.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      113.216.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      113.252.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        114.0.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       114.16.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       114.24.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       114.29.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       114.30.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       114.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       114.48.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       114.52.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       114.56.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       114.69.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       114.70.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       114.72.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      114.108.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
  114.114.114.144  255.255.255.255         10.4.4.1         10.4.4.2     10
  114.114.115.115  255.255.255.255         10.4.4.1         10.4.4.2     10
      114.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      114.128.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      114.133.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      114.134.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      114.136.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      114.140.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      114.144.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      114.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      114.192.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      114.198.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      114.200.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        115.0.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       115.16.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       115.30.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       115.36.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       115.40.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       115.64.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       115.96.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.108.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.112.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      115.124.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.128.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      115.144.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.160.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      115.176.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.184.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      115.188.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      115.240.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
        116.0.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.12.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.14.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
    116.31.102.50  255.255.255.255         10.4.4.1         10.4.4.2     10
    116.31.102.51  255.255.255.255         10.4.4.1         10.4.4.2     10
       116.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       116.48.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       116.58.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       116.64.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     116.66.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       116.67.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.68.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     116.70.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       116.71.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.72.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       116.80.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       116.84.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.86.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       116.88.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       116.92.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       116.94.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       116.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      116.118.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      116.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      116.193.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      116.197.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    116.199.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      116.200.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      116.206.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      116.212.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      116.213.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      116.214.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      116.220.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      116.240.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      116.250.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      116.254.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      116.255.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        117.0.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       117.16.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       117.20.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       117.46.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       117.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       117.56.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     117.58.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       117.74.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       117.96.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      117.102.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      117.104.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      117.108.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      117.120.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
    117.121.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      117.122.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      117.123.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      117.192.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
        118.0.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       118.16.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       118.27.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       118.32.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       118.67.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       118.68.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       118.82.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       118.86.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       118.88.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       118.90.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       118.92.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       118.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      118.127.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.128.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      118.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      118.148.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      118.152.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      118.160.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      118.176.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      118.179.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.185.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.189.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.200.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      118.208.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      118.214.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      118.216.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      118.231.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.232.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      118.236.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      118.238.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      118.240.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      118.243.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    118.253.194.5  255.255.255.255         10.4.4.1         10.4.4.2     10
        119.2.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        119.9.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     119.10.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       119.11.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.12.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       119.17.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.18.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.24.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       119.28.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.30.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     119.38.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       119.40.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       119.42.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       119.46.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       119.56.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.59.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       119.63.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.72.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       119.76.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       119.81.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       119.82.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       119.92.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      119.104.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      119.110.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
   119.147.227.44  255.255.255.255         10.4.4.1         10.4.4.2     10
   119.147.227.48  255.255.255.255         10.4.4.1         10.4.4.2     10
   119.147.227.49  255.255.255.255         10.4.4.1         10.4.4.2     10
      119.148.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      119.152.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      119.160.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      119.161.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      119.168.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      119.192.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      119.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      119.234.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      119.236.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      119.240.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      119.252.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       120.16.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       120.28.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       120.50.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       120.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       120.72.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       120.73.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       120.74.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       120.88.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       120.93.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       120.96.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      120.136.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    120.137.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      120.138.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      120.140.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      120.144.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      120.160.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
        121.0.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        121.6.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       121.44.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       121.46.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       121.50.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       121.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
     121.58.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       121.64.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       121.72.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       121.78.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       121.80.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       121.88.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       121.90.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       121.92.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       121.96.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      121.100.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      121.101.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      121.102.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      121.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      121.112.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      121.128.0.0      255.192.0.0         10.4.4.1         10.4.4.2     10
      121.200.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      121.202.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      121.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      121.240.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      121.252.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      121.254.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        122.0.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
        122.1.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
        122.2.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     122.11.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       122.15.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       122.16.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       122.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       122.49.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       122.50.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       122.52.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       122.56.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       122.98.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      122.100.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      122.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      122.116.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      122.118.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      122.120.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      122.128.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      122.144.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      122.145.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      122.146.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      122.148.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      122.152.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      122.160.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      122.176.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      122.184.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      122.196.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      122.199.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      122.200.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      122.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      122.248.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        123.0.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       123.16.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       123.32.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
       123.48.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       123.49.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       123.50.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       123.63.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     123.98.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       123.99.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      123.100.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.102.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    123.103.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      123.104.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      123.136.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.140.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      123.176.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.192.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      123.198.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.199.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      123.200.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      123.204.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      123.208.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      123.224.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      123.236.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      123.240.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
    123.242.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      123.243.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.248.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.250.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      123.252.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      123.254.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
        124.0.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
        124.8.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       124.12.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       124.18.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       124.24.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       124.28.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
     124.29.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       124.30.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       124.32.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       124.40.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       124.43.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       124.44.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
       124.48.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
     124.66.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       124.80.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       124.96.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      124.120.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      124.124.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.136.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      124.144.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.146.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.147.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      124.148.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.150.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.153.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.154.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.157.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.158.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.168.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      124.176.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      124.194.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.197.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.198.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      124.208.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      124.216.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
    124.225.154.8  255.255.255.255         10.4.4.1         10.4.4.2     10
    124.225.154.9  255.255.255.255         10.4.4.1         10.4.4.2     10
   124.225.154.10  255.255.255.255         10.4.4.1         10.4.4.2     10
    124.240.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      124.241.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.243.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      124.244.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
    124.248.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
      124.252.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
        125.0.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
       125.48.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
       125.56.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
       125.58.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       125.59.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       125.60.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
       125.61.0.0    255.255.128.0         10.4.4.1         10.4.4.2     10
       125.62.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
     125.88.64.72  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.233  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.234  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.235  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.236  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.237  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.238  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.239  255.255.255.255         10.4.4.1         10.4.4.2     10
    125.94.50.240  255.255.255.255         10.4.4.1         10.4.4.2     10
       125.99.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      125.100.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      125.128.0.0      255.224.0.0         10.4.4.1         10.4.4.2     10
      125.160.0.0      255.248.0.0         10.4.4.1         10.4.4.2     10
      125.168.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      125.170.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
      125.172.0.0      255.252.0.0         10.4.4.1         10.4.4.2     10
      125.176.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      125.192.0.0      255.240.0.0         10.4.4.1         10.4.4.2     10
      125.208.0.0      255.254.0.0         10.4.4.1         10.4.4.2     10
      125.212.0.0      255.255.0.0         10.4.4.1         10.4.4.2     10
    125.213.128.0    255.255.128.0         10.4.4.1         10.4.4.2     10
